Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	LIT0_fw_freq	MID4_fw_freq	BIG6_fw_freq	EOL
29	1803000	1803000	1803000	1803000	1328000	1328000	500000	500000	0	0	0	0	0	0	0	0	845000	202	0	39000	42000	42000	0	0	0	0	0	4323750	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1197000	500000	EOL
30	1803000	1803000	1803000	1803000	1197000	1197000	500000	500000	0	0	0	0	0	0	0	0	845000	202	0	40000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1197000	500000	EOL
31	1803000	1803000	1803000	1803000	1197000	1197000	500000	500000	0	0	0	0	50	0	0	0	845000	202	0	40000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1197000	500000	EOL
32	1803000	1803000	1803000	1803000	1197000	1197000	500000	500000	100	0	0	0	0	0	0	0	845000	202	0	40000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1197000	500000	EOL
33	1803000	1803000	1803000	1803000	1197000	1197000	500000	500000	0	0	0	0	0	0	0	0	845000	202	0	40000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1197000	500000	EOL
34	1803000	1803000	1803000	1803000	1197000	1197000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	40000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1197000	500000	EOL
35	1803000	1803000	1803000	1803000	1197000	1197000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	40000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1197000	500000	EOL
36	1803000	1803000	1803000	1803000	1197000	1197000	500000	500000	100	0	0	0	0	0	0	0	676000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1197000	500000	EOL
37	1803000	1803000	1803000	1803000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1024000	500000	EOL
38	1803000	1803000	1803000	1803000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1024000	500000	EOL
39	1803000	1803000	1803000	1803000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1024000	500000	EOL
40	1803000	1803000	1803000	1803000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	39000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1024000	500000	EOL
41	1803000	1803000	1803000	1803000	1024000	1024000	500000	500000	100	0	0	0	0	0	0	0	676000	202	0	39000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1024000	500000	EOL
42	1803000	1803000	1803000	1803000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1024000	500000	EOL
43	1803000	1803000	1803000	1803000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1024000	500000	EOL
44	1803000	1803000	1803000	1803000	1024000	1024000	500000	500000	100	0	0	0	100	0	0	0	546000	202	0	39000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	910000	500000	EOL
45	1803000	1803000	1803000	1803000	910000	910000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	910000	500000	EOL
46	1803000	1803000	1803000	1803000	910000	910000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	910000	500000	EOL
47	1803000	1803000	1803000	1803000	910000	910000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	910000	500000	EOL
48	1803000	1803000	1803000	1803000	910000	910000	500000	500000	100	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	910000	500000	EOL
49	1803000	1803000	1803000	1803000	910000	910000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	910000	500000	EOL
50	1803000	1803000	1803000	1803000	910000	910000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	910000	500000	EOL
51	1803000	1803000	1803000	1803000	910000	910000	500000	500000	100	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	910000	500000	EOL
52	1803000	1803000	1803000	1803000	799000	799000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	40000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	799000	500000	EOL
53	1803000	1803000	1803000	1803000	799000	799000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	40000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	799000	500000	EOL
54	1803000	1803000	1803000	1803000	799000	799000	500000	500000	0	0	0	0	100	0	0	0	546000	202	0	40000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	799000	500000	EOL
55	1803000	1803000	1803000	1803000	799000	799000	500000	500000	100	0	0	0	0	0	0	0	546000	202	0	40000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	799000	500000	EOL
56	1803000	1803000	1803000	1803000	799000	799000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	40000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	799000	500000	EOL
57	1803000	1803000	1803000	1803000	799000	799000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	40000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	799000	500000	EOL
58	1803000	1803000	1803000	1803000	799000	799000	500000	500000	100	0	0	0	0	0	0	0	546000	202	0	39000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	799000	500000	EOL
59	1803000	1803000	1803000	1803000	799000	799000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	799000	500000	EOL
60	1803000	1803000	1803000	1803000	799000	799000	500000	500000	0	0	0	0	100	0	0	0	546000	202	0	39000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
61	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	42000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
62	1803000	1803000	1803000	1803000	696000	696000	500000	500000	100	0	0	0	100	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
63	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
64	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
65	1803000	1803000	1803000	1803000	696000	696000	500000	500000	100	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
66	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
67	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
68	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	100	0	0	0	546000	202	0	39000	41000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
69	1803000	1803000	1803000	1803000	696000	696000	500000	500000	100	0	0	0	0	0	0	0	546000	202	0	39000	41000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
70	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	41000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
71	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	41000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
