Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	EOL
630	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
640	300000	300000	300000	300000	400000	400000	500000	500000	0	50	0	0	50	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
650	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
660	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
670	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
680	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
690	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
700	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
710	300000	300000	300000	300000	400000	400000	500000	500000	0	0	50	0	50	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
720	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
730	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
740	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
750	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
760	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
770	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
780	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	66	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
790	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
800	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
810	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
820	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
830	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
840	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
850	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	33	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
860	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
870	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
880	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
890	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
900	300000	300000	300000	300000	400000	400000	500000	500000	0	0	50	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
910	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4264375	772812	performance	performance	performance	performance	performance	performance	performance	performance	EOL
920	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
930	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
